fold,sample_id,base_mof_id,mof_name,target_column,atom_idx,element,x,y,z,ig_x,ig_y,ig_z,ig_position_importance
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,35,C,1.5738909244537354,-0.9953234195709229,1.7471145391464233,-1.9061714056078927e-06,-5.152866378921317e-06,-1.0456352356413845e-05,-1.751539093675092e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,36,C,1.8161170482635498,0.5562031269073486,-0.21637004613876343,-9.976518413168378e-06,1.2155417152825976e-06,-9.571099326421972e-07,-9.718087312649004e-06
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,37,C,2.3438875675201416,-0.37471282482147217,0.644395112991333,-6.1507053032983094e-06,-1.0291350918123499e-06,-2.8636302431550575e-06,-1.0043470865639392e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,38,C,-2.5150399208068848,-0.9048177003860474,1.3772614002227783,1.4305344848253299e-05,-1.6911952798182028e-06,-8.17582167655928e-06,4.438327778188977e-06
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,39,C,-2.0555496215820312,-1.1892642974853516,5.956042289733887,2.0627223420888186e-05,-9.994184438255616e-06,0.00011373934830771759,0.00012437238183338195
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,40,C,-1.2296583652496338,-0.3100658655166626,-6.912997722625732,5.4262068260868546e-06,5.960851922282018e-06,0.0001180480612674728,0.00012943512410856783
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,41,C,-1.0061298608779907,-0.6462299823760986,6.864410400390625,4.617937520379201e-06,-8.679036000103224e-06,0.00016270161722786725,0.0001586405123816803
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,42,C,0.26992371678352356,-0.4264303743839264,6.195865154266357,6.584242555618403e-07,-7.83207178756129e-06,0.00013086022227071226,0.00012368657917249948
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,43,C,-0.2673358619213104,-4.266458511352539,3.6856536865234375,1.4204415492713451e-06,7.855996227590367e-05,-1.2318378139752895e-05,6.766202568542212e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,44,C,-2.9090800285339355,6.219274997711182,-3.866354465484619,-8.698795681993943e-06,0.00019933900330215693,4.489668754104059e-06,0.00019512987637426704
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,45,C,0.6360985040664673,-5.443032741546631,3.521496057510376,-2.731060931182583e-06,0.00016460329061374068,-3.348192331031896e-05,0.00012839031114708632
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,46,C,2.039449453353882,-5.13272762298584,3.7622461318969727,-3.330712615934317e-06,0.0001367986697005108,-1.5123524462978821e-05,0.00011834443284897134
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,47,C,-1.5742359161376953,0.9958022832870483,-1.7467870712280273,-1.9013440351045574e-06,-5.149137450644048e-06,-1.0458091310283635e-05,-1.750857336446643e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,48,C,-1.8164620399475098,-0.5557242631912231,0.21669749915599823,-9.9778635558323e-06,1.2144138281655614e-06,-9.572752333042445e-07,-9.720724847284146e-06
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,49,C,-2.3442325592041016,0.37519168853759766,-0.644067645072937,-6.146966825326672e-06,-1.0293484820067533e-06,-2.864847374439705e-06,-1.0041162568086293e-05
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,50,C,2.514694929122925,0.9052965641021729,-1.3769339323043823,1.4302429917734116e-05,-1.6889075595827308e-06,-8.17824820842361e-06,4.435273694980424e-06
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,51,C,2.0552046298980713,1.189743161201477,-5.955714702606201,2.0616449546650983e-05,-9.990645594371017e-06,0.00011369388084858656,0.00012431968934834003
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,52,C,1.2293133735656738,0.3105447292327881,6.898250102996826,5.435789262264734e-06,5.9629974202835e-06,0.00011688860831782222,0.0001282874000025913
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,53,C,1.0057848691940308,0.6467088460922241,-6.864083290100098,4.615155830833828e-06,-8.685572538524866e-06,0.0001626623561605811,0.00015859193808864802
1,finetune_000005_v00,finetune_000005,CuHC4O3,xe_uptake_mmol_g,54,C,-0.27026867866516113,0.4269092381000519,-6.195537567138672,6.591385499632452e-07,-7.83609903010074e-06,0.00013083743397146463,0.0001236604730365798
