fold,sample_id,base_mof_id,mof_name,atom_idx,element,x,y,z,subgraphx_onem,in_cekirdek_alt_graf
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,42,O,1.2920691967010498,3.8997366428375244,-2.2960219383239746,0.9200259487136494,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,43,O,0.9785524010658264,-1.072783350944519,-5.4990553855896,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,44,O,-0.8360447883605957,-1.142167329788208,5.428877353668213,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,45,O,3.0496633052825928,4.767036437988281,-4.104280471801758,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,46,O,3.4391841888427734,2.662388563156128,-4.7532453536987305,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,47,O,-3.0211617946624756,0.09518061578273773,-5.364089012145996,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,48,O,-4.436737537384033,0.3264606297016144,-3.6591618061065674,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,49,O,2.954658269882202,-3.9984753131866455,-4.052478313446045,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,50,O,3.4581851959228516,-1.882263422012329,-4.57283353805542,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,51,O,3.7717020511627197,4.709216594696045,-1.3697998523712158,0.9599034559982179,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,52,O,-3.9142096042633057,4.639832496643066,1.4427999258041382,0.960047942672665,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,53,O,1.7005910873413086,-1.0149633884429932,-2.776803731918335,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,54,O,1.311070203781128,-3.1196115016937256,-2.115609884262085,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,55,O,-1.7290925979614258,5.877180576324463,0.006766439415514469,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,56,O,-0.3135167956352234,-5.455539226531982,-1.7103898525238037,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,57,O,-1.7955962419509888,-1.3387553691864014,2.83001708984375,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,58,O,-1.2920691967010498,-3.454967498779297,2.2974328994750977,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,59,O,-0.9785524010658264,1.5175526142120361,5.500466346740723,0.9207163260766659,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,60,O,0.8360447883605957,1.586936593055725,-5.42746639251709,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,61,O,-3.0496633052825928,-4.322267532348633,4.0934624671936035,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,62,O,-3.4391841888427734,-2.2176194190979004,4.7546563148498535,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,63,O,3.0211617946624756,0.3495886027812958,5.365499973297119,0.9599046599125504,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,64,O,4.436737537384033,0.11830861866474152,3.6605727672576904,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,65,O,-2.954658269882202,4.443244457244873,4.041660308837891,0.9600748902156124,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,66,O,-3.4581851959228516,2.3270325660705566,4.574244499206543,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,67,O,-3.7717020511627197,-4.264447212219238,1.3712109327316284,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,68,O,3.9142096042633057,-4.195063591003418,-1.4413888454437256,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,69,O,-1.7005910873413086,1.4597326517105103,2.778214931488037,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,70,O,-1.311070203781128,3.564380645751953,2.117021083831787,0.9600619058288573,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,71,O,1.7290925979614258,-5.432411193847656,-0.005355400964617729,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,72,O,0.3135167956352234,5.900308609008789,1.699571967124939,0.959918816487491,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,73,C,-0.03800203651189804,0.9856086373329163,6.133480548858643,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,74,O,0.9785524010658264,-1.072783350944519,6.729944705963135,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,75,O,-3.0211617946624756,0.09518061578273773,6.864911079406738,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,76,O,0.8360447883605957,1.586936593055725,6.8015336990356445,0.9599774149094928,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,77,Ho,2.042609453201294,6.143152713775635,-2.3665170669555664,0.9599069311195002,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,78,C,-0.5985320806503296,6.004384517669678,-0.49105992913246155,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,79,C,0.5985320806503296,6.004384517669678,0.49247097969055176,0.9599743663817325,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,80,O,-0.3135167956352234,6.108460426330566,-1.7103898525238037,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,81,O,1.7290925979614258,6.131588459014893,-0.005355400964617729,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,82,Ho,6.792863845825195,0.08361661434173584,2.9922168254852295,0.9598832774367452,False
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,83,C,6.621854782104492,-3.0849194526672363,2.518035411834717,0.9598946489975153,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,84,C,6.659856796264648,3.1943325996398926,2.401928186416626,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,85,C,4.788256645202637,-4.796391487121582,-0.773335874080658,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,86,O,5.0637712478637695,0.3264606297016144,-5.170694351196289,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,87,O,5.586299419403076,4.639832496643066,-0.0687326043844223,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,88,O,7.7049126625061035,-1.3387553691864014,1.3184846639633179,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,89,O,6.061324596405029,-2.2176194190979004,3.243123769760132,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,90,O,6.042323589324951,2.3270325660705566,3.062711715698242,0.9600517163042775,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,91,O,5.728806972503662,-4.264447212219238,-0.14032159745693207,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,92,C,5.348786354064941,0.22238461673259735,5.851204872131348,1.0,True
1,finetune_000192_v00,finetune_000192,ZnCrH18C14(N2O)2,0,H,-5.11100959777832,2.349010705947876,-4.720822334289551,0.959943053678576,True
1,finetune_000192_v00,finetune_000192,ZnCrH18C14(N2O)2,1,H,-6.677418231964111,-0.3918928802013397,-4.0394368171691895,0.9599715751014872,True
1,finetune_000192_v00,finetune_000192,ZnCrH18C14(N2O)2,2,Zn,-6.812864303588867,2.2269840240478516,-2.1815648078918457,0.9599446879437858,True
1,finetune_000192_v00,finetune_000192,ZnCrH18C14(N2O)2,3,H,-6.761984348297119,0.34026625752449036,1.17988920211792,0.9599539556759715,True
1,finetune_000192_v00,finetune_000192,ZnCrH18C14(N2O)2,4,H,-5.11100959777832,2.349010705947876,4.698177337646484,0.9599579374743862,True
1,finetune_000192_v00,finetune_000192,ZnCrH18C14(N2O)2,5,H,-5.234613418579102,2.8277299404144287,2.4364066123962402,0.9599574810167649,True
